"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"4361","Semanal","Quincenal","Diario","Quincenal","No consume","Diario","Quincenal","Quincenal","Quincenal","Quincenal","Mensual","Mensual","Mensual"
"4362","Semanal","Quincenal","Diario","Mensual","Semanal","Semanal","Semanal","Semanal","Semanal","No consume","No consume","Mensual","Mensual"
"4363","Diario","Diario","Diario","Diario","Semanal","Semanal","Diario","Diario","Mensual","No consume","Quincenal","No consume","No consume"
"4364","Quincenal","Quincenal","Semanal","Quincenal","Quincenal","Mensual","Quincenal","Quincenal","Quincenal","No consume","No consume","Mensual","No consume"
"4365","Diario","Semanal","Diario","Semanal","Semanal","Diario","Semanal","Diario","Diario","Quincenal","Semanal","Diario","Quincenal"
"4366","Diario","Diario","Semanal","No consume","No consume","Diario","Diario","Diario","Diario","No consume","No consume","Diario","Mensual"
"4367","Mensual","Diario","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Semanal"
"4368","Diario","Diario","Diario","Quincenal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Diario","Diario","Semanal"
"4369","Semanal","Quincenal","Diario","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Mensual","Mensual","No consume","No consume"
"4370","Semanal","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Diario"
"4371","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Quincenal","Quincenal","Quincenal","Quincenal"
"4372","Semanal","Semanal","Semanal","Quincenal","Quincenal","Semanal","Semanal","Semanal","Semanal","Quincenal","Quincenal","Quincenal","Quincenal"
"4373","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Mensual","No consume","Semanal","No consume","No consume","No consume","No consume"
"4374","Semanal","Diario","Diario","Diario","Diario","Semanal","Semanal","Diario","Diario","Semanal","Diario","Diario","Quincenal"
"4375","Diario","Diario","Mensual","No consume","No consume","Quincenal","Quincenal","Diario","Diario","No consume","No consume","No consume","No consume"
"4376","Diario","Diario","Diario","No consume","Diario","Semanal","Diario","Diario","Diario","Mensual","No consume","No consume","No consume"
"4377","Semanal","Diario","Diario","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Quincenal","Quincenal","Quincenal","Quincenal"
"4378","Diario","Semanal","Diario","No consume","Diario","Semanal","Diario","Diario","Diario","Mensual","Mensual","Mensual","No consume"
"4379","Diario","Diario","Diario","No consume","Diario","Semanal","Diario","Semanal","Diario","Semanal","No consume","No consume","No consume"
